"","SNO","MaxRelativeBrightness","MachineSpeed","ROI","MaxY","CameraDistance","Attributes","Area","ProductionStatus","RelativeContrast","Beam","BreakID","MaxBrightness","EdgeFlags","MinX","MinRelativeBrightness","Height","AreaLight","MaxX","MinBrightness","AreaDark","MinY","RelativeBrightness","Camera","MachineSpeed"
"1",0,4.97060118916538,1582.69063496666,0,592,0,132,225,1,10.1341841395408,1,0,241,0,2290,1.279233648976,27,225,2300,92,0,566,2.75578066505175,13,1582.66469304604
"2",1,3.91929633659775,1582.66469304604,0,558,0,388,1000,1,7.19216163809244,1,0,217,0,809,1.13093942691331,54,1000,833,94,0,505,2.19255531374683,12,1582.66469304604
